,album,artist,genre,id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
61,Pharmacy,Galantis,EDM,1PBk2knn4anq0vaS5KGDG2,In My Head,0.00622,0.548,221066,0.895,0.0184,0,0.108,-2.794,1,0.0392,127.829,4,0.616
62,Pharmacy,Galantis,EDM,7gUg4GdOA6Y6yRDe36GIjK,You,0.00837,0.184,221286,0.871,0.167,8,0.15,-3.245,0,0.0661,127.972,4,0.21
63,All I Wanna Do,Martin Jensen,EDM,0BiGd2FNDQ0eh79ZHfp6tS,All I Wanna Do,0.148,0.728,194360,0.794,0.0,1,0.0688,-3.992,1,0.0635,112.071,4,0.523
64,Alone,Marshmello,EDM,12mGwph2YzDIlChtq3EdXP,Alone,0.0244,0.636,273803,0.953,0.0164,2,0.108,-3.74,1,0.0353,142.011,4,0.397
65,Kitsuné: Weekend,Mocki,EDM,56uve6ghEMpAuEF5QTlTs2,Weekend - Jai Wolf Remix,0.279,0.75,249161,0.664,4.01e-05,0,0.11,-7.771,1,0.0458,140.055,4,0.595
66,EP1,Duke Dumont,EDM,69gQgkobVW8bWjoCjBYQUd,I Got U,0.00369,0.647,285596,0.762,0.00641,0,0.0884,-7.765,1,0.0363,120.832,4,0.451
67,You (The Remixes),Lost Kings,EDM,4wxalzIz8Xl8gIYgQfxs4y,You - Evan Berg Remix Edit,0.0298,0.576,220167,0.791,0.000124,9,0.0786,-3.376,1,0.0461,90.05,4,0.286
68,The Wave (feat. Madcon),Matoma,EDM,2aE5Nih0DGEVWhA9BVsiua,The Wave (feat. Madcon),0.0171,0.684,178000,0.602,0.0,10,0.113,-7.685,1,0.119,99.946,4,0.209
69,How You Love Me,3LAU,EDM,1nas007nDbzLwDGwvMdz79,How You Love Me,0.182,0.513,210469,0.803,0.0,1,0.34,-3.635,1,0.0817,127.927,4,0.292
70,Feels (Jai Wolf Remix),Kiiara,EDM,57rOXabUKgkrwHPSqzo4s5,Feels - Jai Wolf Remix,0.463,0.556,270222,0.762,0.0,1,0.0957,-1.961,0,0.0299,135.013,4,0.225
71,"Money Sucks, Friends Rule",Dillon Francis,EDM,1M9VOufdrCQS1SrsfbjznO,When We Were Young,0.000948,0.588,199640,0.842,1.51e-06,1,0.313,-4.304,1,0.0451,128.032,4,0.46
72,Closer,The Chainsmokers,EDM,7BKLCZ1jbUBVqRi2FVlTVw,Closer,0.414,0.748,244960,0.524,0.0,8,0.111,-5.599,1,0.0338,95.01,4,0.661
73,Cold Water,Major Lazer,EDM,7zsXy7vlHdItvUSH8EwQss,Cold Water,0.055,0.602,185360,0.797,0.0,6,0.187,-5.084,0,0.0534,92.928,4,0.492
74,Peace Is The Mission (Extended),Major Lazer,EDM,40MkEbKzuSW9ET6HBngqnK,Light It Up (feat. Nyla & Fuse ODG) [Remix],0.0375,0.747,166138,0.877,0.000833,9,0.233,-3.782,0,0.0664,107.991,4,0.752
75,Peace Is The Mission,Major Lazer,EDM,4vS8VaBwJJV5Ry7UFIQuoo,Lean On (feat. MØ & DJ Snake),0.00346,0.723,176561,0.809,0.00123,7,0.565,-3.081,0,0.0625,98.007,4,0.274
76,Encore,DJ Snake,EDM,0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,0.0771,0.652,205947,0.713,1.02e-05,8,0.144,-5.311,1,0.0368,100.023,4,0.152
77,Encore,DJ Snake,EDM,69bDRy5MeWQl1lNeEJQIBE,The Half,0.0113,0.705,217373,0.705,0.0,11,0.643,-3.393,1,0.12,170.031,4,0.445
78,Powerful (Remixes),Major Lazer,EDM,37jalmkAdkohJQj98FGU7r,Powerful,0.133,0.402,206920,0.794,0.0,11,0.133,-3.982,0,0.125,195.058,3,0.702
79,Peace Is The Mission (Extended),Major Lazer,EDM,56pOVpGoStk1PQpLGIyKmP,"Boom (feat. MOTi, Ty Dolla $ign, Wizkid, & Kranium)",0.00283,0.704,186448,0.784,0.0,7,0.419,-4.463,0,0.142,100.083,4,0.656
80,Peace Is The Mission,Major Lazer,EDM,2SKwCzTG3flzBqYQhGWj8J,"Night Riders (feat. Travis Scott, 2 Chainz, Pusha T & Mad Cobra)",0.0761,0.63,233333,0.888,1.94e-06,11,0.26,-2.388,0,0.0995,141.019,4,0.561
81,Don't Let Me Down (Remixes),The Chainsmokers,EDM,1yNbAK2NOZkJO0M1E7KpL6,Don't Let Me Down - Illenium Remix,0.0751,0.428,218933,0.656,0.181,11,0.15,-3.712,1,0.075,79.648,4,0.355
82,Complementary Colors,Halsey,EDM,3WtCu35qpzGCLIGa8pczdu,Colors - Audien Remix,0.0622,0.631,270222,0.886,5.51e-05,1,0.098,-2.016,1,0.117,135.032,4,0.672
83,Whole Lotta Lovin',Mustard,EDM,01gNiOqg8u7vT90uVgOVmz,Whole Lotta Lovin',0.154,0.438,299160,0.399,8.45e-06,4,0.0646,-8.752,0,0.0623,160.159,5,0.405
84,Insomnia,Audien,EDM,2f4aFQQtbJ5EciN4pCC63S,Insomnia,0.131,0.621,214230,0.843,0.0,6,0.143,-1.55,1,0.0925,127.991,4,0.528
85,Forever,Alesso,EDM,7vhOZ7D4z03Y0tYkxFAG15,Cool,0.0339,0.525,221399,0.857,0.0,6,0.443,-2.413,0,0.0324,128.016,4,0.515
86,Don't Look Down,Martin Garrix,EDM,5M9jOReAKGZ2AttVefFjTY,Don't Look Down,0.00406,0.575,223140,0.831,0.000449,0,0.111,-5.972,1,0.0356,127.991,4,0.377
87,Major Key,DJ Khaled,EDM,4VJ7mnW4wjjIgPBM6KWvPu,Do You Mind,0.0173,0.412,325615,0.548,0.0,10,0.181,-6.981,1,0.243,81.293,4,0.176
88,Skrillex and Diplo present Jack Ü,Jack Ü,EDM,66hayvUbTotekKU3H4ta1f,Where Are Ü Now (with Justin Bieber),0.041,0.432,250286,0.781,4.21e-06,4,0.0789,-4.038,0,0.0567,139.432,4,0.197
89,Skrillex and Diplo present Jack Ü,Jack Ü,EDM,3UgSQu6WwrXfKKDq019IHE,To Ü (feat. AlunaGeorge),0.134,0.485,237000,0.928,2.92e-05,10,0.217,-3.451,0,0.445,160.165,4,0.348
90,Shelter,Porter Robinson,EDM,3ISYGHoYnu4gos6JNMfL4z,Shelter,0.00293,0.276,218965,0.796,0.0,0,0.184,-4.499,1,0.0579,199.526,4,0.26
91,Joytime,Marshmello,EDM,1Hk0QRlUFCHYG6zIvUh0Xd,Summer,0.00695,0.583,233239,0.748,0.0241,6,0.22,-4.798,1,0.0292,142.029,4,0.254
92,Weight in Gold (The Remixes),Gallant,EDM,4mRpWePw7B8ePqfP7aMD7S,Weight in Gold - Ekali Remix,0.307,0.458,199714,0.579,0.0,2,0.159,-4.513,0,0.218,131.917,4,0.195
93,All We Know,The Chainsmokers,EDM,2rizacJSyD9S1IQUxUxnsK,All We Know,0.097,0.662,194080,0.586,0.00272,0,0.115,-8.821,1,0.0307,90.0,4,0.296
94,Ashes,Sound Remedy,EDM,6XtSFFAy65MocQiaHMj2bp,Spirals (feat. King Deco),0.0194,0.229,361500,0.557,1.7e-06,1,0.185,-5.507,1,0.0363,135.029,4,0.0564
95,My Way,Calvin Harris,EDM,1vvNmPOiUuyCbgWmtc6yfm,My Way,0.0935,0.819,219160,0.913,3.72e-05,4,0.161,-3.059,0,0.0427,119.989,4,0.536
96,Adventure (Deluxe),Madeon,EDM,4PTPZeJlK1rYlYr6bf11hk,You're On,0.0227,0.49,192720,0.914,0.0,10,0.793,-3.202,1,0.167,100.1,4,0.241
97,Adventure (Deluxe),Madeon,EDM,3rsq3qtqNBId48c0IVraTS,Pay No Mind,0.00592,0.546,249440,0.852,0.0,1,0.159,-2.445,1,0.102,112.183,4,0.558
98,"Blood, Sweat & 3 Years",Cash Cash,EDM,0jPU39bL0SrCmYc1RwbFkX,Hero (feat. Christina Perri),0.0627,0.47,197840,0.85,0.0,1,0.118,-2.825,0,0.0363,149.876,4,0.148
99,Broken,Tritonal,EDM,3NpncOG0HgkKbMAF8DTCma,Broken,0.00836,0.591,207273,0.652,1.5e-06,7,0.222,-7.347,1,0.0339,110.006,4,0.231
