,album,artist,genre,id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
48,OKRA,"Tyler, The Creator",Rap,74ZovzRxHBvCq5yIwe8boh,OKRA,0.0456,0.589,151027,0.57,1.51e-06,1,0.137,-9.54,1,0.361,136.203,4,0.441
49,Solitaire (feat. Migos & Lil Yachty),Gucci Mane,Rap,3DxZfFYJLwKDJtUwnLEhkL,Solitaire (feat. Migos & Lil Yachty),0.0271,0.811,139130,0.54,0.0,11,0.106,-7.977,0,0.329,138.016,4,0.436
0,This One's for You,Luke Combs,Country,4gB7HrYHbJVJ5RFOjxmoq4,One Number Away,0.00585,0.544,221800,0.781,0.0,6,0.191,-6.16,0,0.0311,144.075,4,0.527
1,Hooked,Dylan Scott,Country,6LF5IVPG7xBcvPgI6Bfcsl,Hooked,0.0362,0.597,149293,0.721,0.0,9,0.0832,-6.422,1,0.0356,132.054,4,0.437
2,Babe,Sugarland,Country,5FNeJveCmVB2TPDbIYqK0M,Babe,0.0187,0.535,215107,0.777,1.62e-06,4,0.136,-3.292,1,0.207,171.72,4,0.664
3,Something 'Bout You,Sir Rosevelt,Country,6QkObBYNxVVUYt4FSpnTqY,Something 'Bout You,0.189,0.692,160107,0.692,0.0,2,0.0884,-6.065,1,0.0818,153.255,4,0.75
4,Jake Owen,Jake Owen,Country,52K3RIVDetSuZPzcTmIVoY,I Was Jack (You Were Diane),0.102,0.603,188013,0.872,0.0,6,0.0505,-3.563,1,0.0487,94.008,4,0.594
5,Life Changes,Thomas Rhett,Country,0wyja8xD9cNhDtfuY0dVMP,Leave Right Now,0.00651,0.474,195667,0.583,0.0,4,0.128,-7.093,1,0.0469,148.051,4,0.366
6,Never Be the Same (feat. Kane Brown),Camila Cabello,Country,0xk4woi8ENN8VWFDZTcF8h,Never Be the Same (feat. Kane Brown),0.238,0.6,225539,0.671,0.0,0,0.164,-4.875,1,0.0893,129.782,4,0.25
7,Up Down (Feat. Florida Georgia Line),Morgan Wallen,Country,3LhzpgimYSZhTx5KuchwVX,Up Down (Feat. Florida Georgia Line),0.0913,0.59,196240,0.881,0.0,6,0.157,-2.898,1,0.0349,129.928,4,0.734
8,Dear Life,High Valley,Country,2p2cCrOaNrIOLk5ArtlHy6,She's With Me,0.0285,0.599,180302,0.931,0.0,11,0.102,-3.662,1,0.0517,111.012,4,0.788
9,"Woman, Amen",Dierks Bentley,Country,4YX7OBp0yoMwC6eZNNg5ky,"Woman, Amen",0.00101,0.563,180243,0.772,1.95e-05,5,0.214,-6.737,1,0.0593,119.909,4,0.394
10,Break Up in the End,Cole Swindell,Country,7uVkYr8gxcPEgqohvynpdN,Break Up in the End,0.456,0.51,199436,0.386,0.0,1,0.252,-8.391,1,0.0307,86.36,4,0.266
11,Speakers,Brandon Lay,Country,0Is6MRHWKe7y2xIxDkvO6l,"Speakers, Bleachers And Preachers",0.302,0.603,192920,0.625,0.0,6,0.141,-6.563,1,0.0258,96.02,4,0.651
12,Rearview Town,Jason Aldean,Country,3yHTTHbT058Ow0favhZO38,Rearview Town,0.023,0.526,184173,0.85,0.0,10,0.0948,-4.47,0,0.0313,141.973,4,0.338
